storage_path,status
"outlook_research_import/batch2a/daily-market-summary-2026-06-24/24 June Pricelist.xlsx","success"
"outlook_research_import/batch2a/daily-market-summary-2026-06-23/23 June Pricelist.xlsx","success"
"outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-24/Pricelist 24 June 2026.xlsx","success"
"outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-23/Pricelist 23 June 2026.xlsx","success"
"outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-22/Nigeria Corporate Action Tracker 22062026.pdf","success"
"outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-08/Nigeria Dividend Tracker - 080626.pdf","success"
"outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-01/Nigeria Corporate Actions Dividend Tracker - 010626.pdf","success"
