file,status
"reports/staged/daily-market-report-01-17-2025.pdf","success"
"reports/staged/daily-market-report-01-20-2025.pdf","success"
"reports/staged/daily-market-report-01-21-2025.pdf","success"
"reports/staged/daily-market-report-01-22-2025.pdf","success"
"reports/staged/daily-market-report-01-23-2025.pdf","success"
"reports/staged/daily-market-report-01-24-2025.pdf","success"
"reports/staged/daily-market-report-01-27-2025.pdf","success"
"reports/staged/daily-market-report-01-28-2025.pdf","success"
"reports/staged/daily-market-report-01-29-2025.pdf","success"
"reports/staged/daily-market-report-01-30-2025.pdf","success"
"reports/staged/daily-market-report-01-31-2025.pdf","success"
"reports/staged/daily-market-report-1-02-2025.pdf","success"
"reports/staged/daily-market-report-1-03-2025.pdf","success"
"reports/staged/daily-market-report-02-07-2025.pdf","success"
"reports/staged/daily-market-report-03-07-2025.pdf","success"
"reports/staged/daily-market-report-04-07-2025.pdf","success"
"reports/staged/daily-market-report-07-07-2025.pdf","success"
"reports/staged/daily-market-report-08-07-2025.pdf","success"
"reports/staged/daily-market-report-09-07-2025.pdf","success"
"reports/staged/daily-market-report-10-07-2025.pdf","success"
"reports/staged/daily-market-report-11-07-2025.pdf","success"
"reports/staged/daily-market-report-14-06-2025.pdf","success"
"reports/staged/equities-market-update-2025-final.pdf","success""reports/staged/daily-market-report-08-04-2025.pdf","success"
"reports/staged/daily-market-report-10-04-2025.pdf","success"
"reports/staged/daily-market-report-08-26-2025.pdf","success"
"reports/staged/daily-market-report-12-16-2025.pdf","success"
